"state","placefp14","sdsec14","stab","placefp","placenm","placenm14","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sdsec14","State abbreviation","placefp","placenm","Place name 2014","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sdsec14 allocation factor","sdsec14 to placefp14 allocation factor"
"36","58442"," ","NY"," "," ","Plainview CDP, NY","36",-73.479986,40.780204,26217,1,0.024024 
"36","58475"," ","NY"," "," ","Plandome village, NY","36",-73.699547,40.806585,1349,1,0.001236 
"36","58486"," ","NY"," "," ","Plandome Heights village, NY","36",-73.704267,40.802198,1005,1,0.000921 
"36","58497"," ","NY"," "," ","Plandome Manor village, NY","36",-73.699098,40.813635,872,1,0.000799 
"36","58849"," ","NY"," "," ","Point Lookout CDP, NY","36",-73.58017,40.590234,1219,1,0.001117 
"36","59520"," ","NY"," "," ","Port Washington CDP, NY","36",-73.688066,40.830406,15846,1,0.01452 
"36","59531"," ","NY"," "," ","Port Washington North village, NY","36",-73.702179,40.844918,3154,1,0.00289 
"36","63264"," ","NY"," "," ","Rockville Centre village, NY","36",-73.637563,40.663143,24023,1,0.022013 
"36","63506"," ","NY"," "," ","Roosevelt CDP, NY","36",-73.585479,40.679587,16258,1,0.014898 
"36","63770"," ","NY"," "," ","Roslyn village, NY","36",-73.648695,40.796908,2770,1,0.002538 
"36","63792"," ","NY"," "," ","Roslyn Estates village, NY","36",-73.661146,40.793318,1251,1,0.001146 
"36","63803"," ","NY"," "," ","Roslyn Harbor village, NY","36",-73.637297,40.816701,1051,1,0.000963 
"36","63814"," ","NY"," "," ","Roslyn Heights CDP, NY","36",-73.642298,40.781485,6577,1,0.006027 
"36","64232"," ","NY"," "," ","Russell Gardens village, NY","36",-73.724774,40.781528,945,1,0.000866 
"36","64430"," ","NY"," "," ","Saddle Rock village, NY","36",-73.749638,40.794279,830,1,0.000761 
"36","64441"," ","NY"," "," ","Saddle Rock Estates CDP, NY","36",-73.741617,40.793676,471,1,0.000432 
"36","64842"," ","NY"," "," ","Salisbury CDP, NY","36",-73.559962,40.745163,12093,1,0.011081 
"36","65035"," ","NY"," "," ","Sands Point village, NY","36",-73.704395,40.851041,2675,1,0.002451 
"36","66047"," ","NY"," "," ","Sea Cliff village, NY","36",-73.643599,40.845823,4995,1,0.004577 
"36","66058"," ","NY"," "," ","Seaford CDP, NY","36",-73.49214,40.669467,15294,1,0.014015 
"36","66102"," ","NY"," "," ","Searingtown CDP, NY","36",-73.660097,40.770998,4915,1,0.004504 
"36","69001"," ","NY"," "," ","South Farmingdale CDP, NY","36",-73.446409,40.717903,14486,1,0.013274 
"36","69023","26520","NY"," "," ","South Floral Park village, NY","Sewanhaka Central High School District",-73.700542,40.713503,1764,1,0.01497 
"36","69188"," ","NY"," "," ","South Hempstead CDP, NY","36",-73.6212,40.682019,3243,1,0.002972 
"36","69892"," ","NY"," "," ","South Valley Stream CDP, NY","36",-73.72021,40.649047,1454,0.243878,0.001332 
"36","69892","29520","NY"," "," ","South Valley Stream CDP, NY","Valley Stream Central High School District",-73.717178,40.656839,4508,0.756122,0.075429 
"36","71267","26520","NY"," "," ","Stewart Manor village, NY","Sewanhaka Central High School District",-73.685427,40.719928,1896,1,0.016091 
"36","72554"," ","NY"," "," ","Syosset CDP, NY","36",-73.500793,40.813305,18829,1,0.017254 
"36","73605"," ","NY"," "," ","Thomaston village, NY","36",-73.715874,40.786773,2617,1,0.002398 
"36","76089"," ","NY"," "," ","Uniondale CDP, NY","36",-73.591916,40.701988,24759,1,0.022688 
"36","76287"," ","NY"," "," ","University Gardens CDP, NY","36",-73.729337,40.774218,4226,1,0.003872 
"36","76331"," ","NY"," "," ","Upper Brookville village, NY","36",-73.566125,40.842886,1698,1,0.001556 
"36","76705"," ","NY"," "," ","Valley Stream village, NY","36",-73.703669,40.647933,3195,0.085175,0.002928 
"36","76705","29520","NY"," "," ","Valley Stream village, NY","Valley Stream Central High School District",-73.704786,40.666434,34316,0.914825,0.574182 
"36","78146"," ","NY"," "," ","Wantagh CDP, NY","36",-73.509832,40.675506,18756,0.993906,0.017187 
"36","78146","19020","NY"," "," ","Wantagh CDP, NY","Bellmore-Merrick Central High School District",-73.523744,40.679043,115,0.006094,0.001628 
"36","79444"," ","NY"," "," ","Westbury village, NY","36",-73.588733,40.758867,15040,1,0.013782 
"36","80225"," ","NY"," "," ","West Hempstead CDP, NY","36",-73.651449,40.696462,16704,0.88559,0.015307 
"36","80225","26520","NY"," "," ","West Hempstead CDP, NY","Sewanhaka Central High School District",-73.662423,40.698906,2158,0.11441,0.018314 
"36","82117"," ","NY"," "," ","Williston Park village, NY","36",-73.64671,40.759095,7287,1,0.006677 
"36","82744"," ","NY"," "," ","Woodbury CDP, NY","36",-73.471045,40.815429,8907,1,0.008162 
"36","82942"," ","NY"," "," ","Woodmere CDP, NY","36",-73.718833,40.636946,17121,1,0.015689 
"36","82986"," ","NY"," "," ","Woodsburgh village, NY","36",-73.708384,40.624185,778,1,0.000713 
"36","99999"," ","NY"," "," "," ","36",-73.654292,40.831602,1047,1,0.000959 
