"state","placefp14","sduni14","stab","placefp","placenm","placenm14","uschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sduni14","State abbreviation","placefp","placenm","Place name 2014","Unified school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sduni14 allocation factor","sduni14 to placefp14 allocation factor"
"36","47405","22290","NY"," "," ","Mill Neck village, NY","Oyster Bay-East Norwich Central School District",-73.55052,40.886168,731,0.7332,0.055349 
"36","47636","06540","NY"," "," ","Mineola village, NY","Carle Place Union Free School District",-73.62311,40.746582,874,0.046492,0.092821 
"36","47636","10050","NY"," "," ","Mineola village, NY","East Williston Union Free School District",-73.629151,40.755335,1513,0.080483,0.17127 
"36","47636","19500","NY"," "," ","Mineola village, NY","Mineola Union Free School District",-73.641395,40.746331,16412,0.873025,0.697522 
"36","49231","18270","NY"," "," ","Munsey Park village, NY","Manhasset Union Free School District",-73.681637,40.799119,2693,1,0.166584 
"36","49330","15810","NY"," "," ","Muttontown village, NY","Jericho Union Free School District",-73.534979,40.813145,796,0.227624,0.045884 
"36","49330","17700","NY"," "," ","Muttontown village, NY","Locust Valley Central School District",-73.55968,40.832232,488,0.139548,0.031242 
"36","49330","22290","NY"," "," ","Muttontown village, NY","Oyster Bay-East Norwich Central School District",-73.53551,40.834902,538,0.153846,0.040736 
"36","49330","28560","NY"," "," ","Muttontown village, NY","Syosset Central School District",-73.519448,40.817435,1675,0.478982,0.048977 
"36","50067","30960","NY"," "," ","New Cassel CDP, NY","Westbury Union Free School District",-73.568048,40.760152,14059,1,0.534685 
"36","50397"," ","NY"," "," ","New Hyde Park village, NY","36",-73.686197,40.732446,9712,1,0.039123 
"36","51517"," ","NY"," "," ","North Bellmore CDP, NY","36",-73.53851,40.69006,19941,1,0.080329 
"36","53022","12510","NY"," "," ","North Hills village, NY","Great Neck Union Free School District",-73.690614,40.767345,181,0.035665,0.00406 
"36","53022","14280","NY"," "," ","North Hills village, NY","Herricks Union Free School District",-73.675609,40.770113,2709,0.533793,0.109783 
